Location,Position,Start DateTime,End DateTime
Rodkin,L1,2023-09-23 4:00 PM,2023-09-23 6:15 PM
Rodkin,L1,2023-09-23 6:30 PM,2023-09-23 8:45 PM
Rodkin,L1,2023-09-24 4:00 PM,2023-09-24 6:15 PM
Rodkin,L1,2023-09-24 6:30 PM,2023-09-24 8:45 PM
Rodkin,L1,2023-09-25 4:00 PM,2023-09-25 6:15 PM
Rodkin,L1,2023-09-25 6:30 PM,2023-09-25 8:45 PM
Rodkin,L1,2023-09-26 4:00 PM,2023-09-26 6:15 PM
Rodkin,L1,2023-09-26 6:30 PM,2023-09-26 8:45 PM
Rodkin,L1,2023-09-27 4:00 PM,2023-09-27 6:15 PM
Rodkin,L1,2023-09-27 6:30 PM,2023-09-27 8:45 PM
Rodkin,L1,2023-09-28 4:00 PM,2023-09-28 6:15 PM
Rodkin,L1,2023-09-28 6:30 PM,2023-09-28 8:45 PM
Rodkin,L1,2023-09-29 4:00 PM,2023-09-29 6:15 PM
Rodkin,L1,2023-09-29 6:30 PM,2023-09-29 8:45 PM
